video_id,view_count,like_count,comment_count,duration_seconds,Year,Month,Day,Weekday,Time,Cleaned_Title,Duration_Category
TGAUZQJaQbQ,26242,972,140,444.0,2023,11,14,Tuesday,13:00:21,Why Data Analysts Hate Using Excel,Medium
HYD8KjPB9F8,405475,5002,188,660.0,2023,11,7,Tuesday,13:00:11,Select Statement in MySQL Beginner MySQL Series,Medium
wgRwITQHszU,1165146,14804,1607,724.0,2023,10,31,Tuesday,12:00:54,Installing MySQL and Creating Databases MySQL for Beginners,Medium
1LG65qXfeQY,26754,989,12,4709.0,2023,10,26,Thursday,16:30:05,Python Beginner to Advanced in One Hour CareerFoundry Webinar,Long
QzLz-W29Tww,9931,436,47,657.0,2023,10,24,Tuesday,12:00:30,How to Start a Data YouTube Channel,Medium
ukIUVW2E-n0,5162,237,11,5107.0,2023,10,20,Friday,16:18:10,600k Livestream Analyst Builder Giveaways Songs My Mom is Joining,Long
aofB2t5o2ao,20328,765,272,4443.0,2023,10,17,Tuesday,12:00:04,Consulting and Freelancing in Data Analytics ATA Show Episode 25,Long
-DwpkgtJjGw,144736,7555,59,59.0,2023,10,13,Friday,13:37:21,Data Analyst vs Business Analyst,Short
h4KTy2wxYcQ,32323,853,212,1311.0,2023,10,10,Tuesday,12:00:36,First Look at Analyst Builder The AllinOne Platform for Data Analysts Beta Launch Coming Soon,Long
LaRXtE4OG9A,32329,1889,26,40.0,2023,10,9,Monday,12:11:16,DataAnalysis DataAnalyst DataRealities,Short
J0PcCv9f4JQ,17685,1309,32,58.0,2023,10,5,Thursday,12:13:45,DataAnalyst DataCareers DataAnalysis,Short
_DGn-7134i0,37663,818,44,386.0,2023,10,3,Tuesday,12:00:26,Data Analyst vs Data Engineer Responsibilities Salaries Skills Education,Medium
EflE8U30pBo,9004,284,21,5621.0,2023,9,28,Thursday,16:09:03,Data Analyst QA Livestream September Livestream Ask Me Anything,Long
j_sHaBJEHMk,14557,978,7,55.0,2023,9,28,Thursday,12:37:36,Salary DataAnalyst SalaryNegotiation,Short
xuyKzpJ2SaY,24404,512,31,179.0,2023,9,26,Tuesday,12:00:49,AI and Analytics with SAS SAS Explore Recap,Short
D0mEy6bJ2lA,9603,501,29,23.0,2023,9,25,Monday,13:13:18,My Very First Video,Short
GaoAc3-hScQ,74822,4582,33,52.0,2023,9,22,Friday,11:45:01,DataAnalyst CareerPath,Short
bxIF9X9k2IE,48147,1178,54,673.0,2023,9,19,Tuesday,12:00:34,Data Analyst vs Data Scientist Responsibilities Salaries Skills Education,Medium
z_xWpa88R0A,17731,1294,21,56.0,2023,9,18,Monday,11:38:11,Excel DataAnalyst DataAnalysis,Short
7PoZBuIUnEU,47556,1646,101,294.0,2023,9,12,Tuesday,12:00:07,Data Analyst vs Business Analyst Responsibilities Salaries Skills Education,Short
fq1-e-GbihE,20961,1487,23,53.0,2023,9,7,Thursday,11:57:32,DataAnalysis DataAnalyst,Short
Xkb6h3YXl_c,15888,705,30,582.0,2023,9,5,Tuesday,12:00:34,Hard Skills vs Soft Skills in the Data World Which is More Important,Medium
qDprq7Xbrqw,45620,1960,113,323.0,2023,8,29,Tuesday,04:00:33,Entry Level vs Mid Level vs Senior Level Data Analyst Responsibilities Salary Education Skills,Medium
UOHxb9ndpMM,11022,633,10,51.0,2023,8,28,Monday,11:53:52,DataAnalyst DataAnalysis Promotion,Short
_h_A_n8Z9QQ,21071,1402,54,60.0,2023,8,24,Thursday,11:53:05,DataAnalyst DataAnalysis,Short
_oCUSMX4_3k,11608,271,22,767.0,2023,8,22,Tuesday,12:00:35,Regular Expression Use Cases in Python,Medium
OnS01G8W6nw,8510,321,25,4365.0,2023,8,18,Friday,14:23:24,Data Analyst QA Livestream August Livestream Ask Me Anything,Long
ugkyfUTc6AU,52207,3647,52,54.0,2023,8,17,Thursday,12:35:34,DataAnalystSalary DataAnalysis,Short
eON-PNPae8Y,50213,2379,89,467.0,2023,8,15,Tuesday,12:00:34,How to Work with Recruiters on LinkedIn,Medium
41nX2ZgGzcE,38345,3091,26,60.0,2023,8,14,Monday,12:12:00,dataanalysis dataportfolio,Short
Le35Qsgs2lM,21212,1960,52,59.0,2023,8,11,Friday,13:13:22,wife careerchange dataanalysis,Short
nufF-juSZxU,8385,751,44,37.0,2023,8,9,Wednesday,13:11:45,LINK httpswwwyoutubecomplaylistlistPLUaB1hjhk8FEXZ87vPPSfHqb6OcM0cF,Short
9NB5u17qiDY,14586,246,13,638.0,2023,8,8,Tuesday,12:00:05,Regular Expression Character Classes in Python,Medium
YDvJqgBv0Uc,17565,1178,24,58.0,2023,8,3,Thursday,11:56:30,Recruiters dataanalysis data,Short
j6A28L6Tmxw,13173,320,9,1203.0,2023,8,1,Tuesday,12:00:26,Regular Expression Metacharacters in Python,Long
